categories,update_date,concat
math.CV math.NT,2007-05-23,natural boundary dirichlet series prove condition existence natural boundary dirichlet series show generically presumed boundary natural one also give application natural boundary determining asymptotic result
math.CO math.AG,2007-05-23,transitive power youngjucysmurphy element central although power youngjucysmurphya element xi n symmetric group sn acting n lie centre group algebra sn show transitive power namely sum contribution element act transitively n central determine coefficient call star factorization number occur resolution transitive power respect class basis centre sn show polynomiality property centrality polynomiality property seemingly unrelated consequence first answer question raised pak reduced decomposition second explain extend beautiful symmetry result discovered irving rattan thirdly relate polynomiality existing polynomiality result class double hurwitz number associated branched cover sphere therefore suggests may elsvtype formula associated star factorization number
astro-ph,2007-05-23,sensitivity hybrid differential stereoscopy spectral imaging stereoscopic spectral imaging observing technique affords rapid acquisition limited spectral information entire image plane simultaneously light telescope dispersed multiple spectral order imaged separately two dispersed image combined using analogy xylambda spectral data space conventional xyz threespace photon deliberately destroyed image acquisition technique much photonefficient observing regime existing technique scannedfiltergraph scannedslit spectral imaging hybrid differential stereoscopy us combination conventional crosscorrelation stereoscopy linear approximation theory extract central wavelength spectral line used produce solar stokesv lineofsight magnetograms nm fe line sophisticated inversion technique currently used derive doppler line separation data euv image solar corona collected neighboring line heii sixi nm paper develop analytic priori treatment noise line shift signal derived hybrid differential stereoscopy use analysis estimate noise level measurement precision high resolution solar magnetograph based stereoscopic spectral imaging compare estimate test observation made discus implication future instrument
cond-mat.mtrl-sci,2007-05-23,memory function formalism approach electrical conductivity optical response dilute magnetic semiconductor combination memory function formalism timedependent densityfunctional theory applied transport dilute magnetic semiconductor approach considers spin charge disorder electronelectron interaction equal footing within weak disorder limit using simple parabolic approximation valence band show coulomb exchange scattering contribution resistivity gamnas order magnitude positional correlation defect result significant increase coulomb scattering suppression localized spin fluctuation ferromagnetic phase contributes substantially experimentally observed drop resistivity tc proper treatment dynamical screening collective excitation essential accurate description infrared absorption
math.DG gr-qc hep-th math-ph math.MP nlin.SI,2007-05-23,nonholonomic ricci flow iii curve flow solitonic hierarchy geometric construction elaborated semi riemannian manifold vector bundle provided nonintegrable distribution defining nonlinear connection structure induced canonically metric tensor space called nonholonomic manifold described two equivalent linear connection also induced unique form metric tensor levi civita canonical distinguished connection dconnection lift geometric object tangent bundle performed certain class dconnections frame transforms riemann tensor parametrized constant matrix coefficient configuration flow nonstretching curve corresponding bihamilton solitonic hierarchy encode information ricci flow evolution einstein space exact solution gravity geometric mechanic applied method elaborated formally finsler geometry allows u develop formalism generalized riemannfinsler lagrange space nevertheless geometric construction equivalently redefined levi civita connection holonomic frame semi riemannian manifold
astro-ph,2007-05-23,radio observation massive stellar cluster westerlund highdynamic range radio observation westerlund presented detect total star young massive stellar cluster richest population radio emitting star known young massive galactic cluster galaxy discus remarkable object including highly radio luminous supergiant star w estimated massloss rate solarmassyr comparable eta carina along somewhat unusual detection thermal emission almost cool red supergiant yellow hypergiants strong supporting evidence xray observation wr star radio emission likely collidingwind binary
math.FA,2007-05-23,class ideal toeplitz algebra bergman space unit ball let mathfrakt denote full toeplitz algebra bergman space unit ball mathbbbn subset g linfty let mathfrakcig denote closed twosided ideal mathfrakt generated tftgtgtf fgin g known mathfrakcicbarmathbbbnmathcalk ideal compact operator mathfrakcicmathbbbnmathfrakt despite extremal case mathfrakt contain nontrivial ideal paper give construction class subset g linfty mathcalksubsetneqmathfrakcigsubsetneqmathfrakt
cs.AI,2007-05-23,artificial neural network support vector machine water demand time series forecasting water play pivotal role many physical process importantly sustaining human life animal life plant life water supply entity therefore responsibility supply clean safe water rate required consumer therefore necessary implement mechanism system employed predict shortterm longterm water demand increasingly growing field computational intelligence technique proposed efficient tool modelling dynamic phenomenon primary objective paper compare efficiency two computational intelligence technique water demand forecasting technique comparison artificial neural network anns support vector machine svms study observed anns perform better svms performance measured generalisation ability two
cond-mat.stat-mech,2007-05-23,reply comment incomplete equilibrium longrange interacting system tsallis et al rejection comment arxivcondmatv phys rev lett bf author informed u extended version comment going published different journal direct editorial responsibility one decided make publicly available formal reply originally prepared publication phys rev lett
quant-ph,2007-05-23,comment nmr experiment factor number gauss sum mehring et al recently described elegant nuclear magnetic resonance nmr experiment implementing algorithm factor number based property gauss sum similar experiment also described mahesh et al fact algorithm factor number directly rather check whether trial integer ell factor given integer n show nmr scheme cannot used factor checking without first implicitly determining whether ell factor n
math.NT,2007-05-23,weight structure cyclic code gfq q interrelation cyclic structure ideal ie cyclic code galois field gfq q class proportional element considered relation used order define code weight structure equidistance condition irreducible nonprimitive code gfq given besides minimum distance class nonprimitive cyclic code found
hep-ex nucl-ex,2007-05-23,lens probe sterile neutrino mediated oscillation sterile neutrino nu conversion meter scale baseline sensitively probed using monoenergetic submev flavor pure nues artificial mci source unique technology lens low energy solar nue detector activesterile em oscillation directly observed granular lens detector critically test extend result short baseline accelerator reactor experiment
math.CA,2007-05-23,existence symmetry minimizers nonconvex radially symmetric variational problem nonconvex functionals spherical symmetry studied existence one radial symmetry global minimizers shown approach based convex relaxation
math.GR,2007-05-23,busemann point artin group dihedral type study horofunction boundary artin group dihedral type word metric coming either usual artin generator dual generator case determine horoboundary say point busemann point limit geodesic ray case dual generator turn boundary point busemann point true artin generator also characterise geodesic respect dual generator allows u calculate associated geodesic growth series
quant-ph,2007-05-23,epr bell schrodinger cat monty hall paradox purpose manuscript provide short pedagogical explanation quantum collapse metaphysical event pointing analogy classical collapse associated monty hall paradox
math.PR,2007-05-23,number collision lambdacoalescents examine total number collision cn lambdacoalescent process start n particle linear growth stable limit law cn shown assumption powerlike behaviour measure lambda near exponent alpha
gr-qc,2007-05-23,high order convergent multigrid method domain containing hole black hole initial data well known multigrid method optimally efficient solution elliptic equation mean effort proportional number point solution evaluated thus ideal method solve initial dataconstraint equation general relativity instance black hole interaction strongfield gravitational configuration recent effort produced finite difference multigrid solver domain hole excised region present extension concept higher order fourth sixth eigthorder high order convergence allows rapid solution relatively small computational grid also general relativity evolution code moving typically fourthorder data computed least accurately order straightfoward demonstration proper order convergence evolution vertexcentered multigrid code demonstrates globally highorderaccurate solution elliptic equation domain containing hole two spatial dimension fixed dirichlet outer boundary condition three spatial dimension robin outer boundary condition demonstrate real world dimensional problem solution conformally flat hamiltonian constraint general relativity success method depends choice discretization near hole b definition location inner boundary allows resolution hole even coarsest grid maintaining order convergence boundary interior computational domain
math.NT,2007-05-23,abundance invariant polynomial satisfying riemann hypothesis iwan duursma defined zeta function linear code generating function hamming weight enumerator also defined homogeneous polynomial corresponding existing code homogeneous polynomial invariant macwilliams transform zeta function satisfies functional equation formulate analogue riemann hypothesis far existing code concerned riemann hypothesis believed closely related extremal property article show abundant polynomial invariant macwilliams transform satisfy riemann hypothesis proof carried explicit construction polynomial prove riemann hypothesis certain class invariant polynomial establish analogue enestromkakeya theorem
quant-ph,2007-05-23,solution master equation quantum brownian motion general environment external force revisit model system made brownian quantum oscillator influence external classical force linearly coupled environment made many quantum oscillator zero finite temperature show hpz master equation reduced density matrix derived earlier bl hu jp paz zhang phys rev coefficient obtained solution integrodifferential equation assume closed functional form fairly general class spectral density environment arbitrary temperature coupling strength illustration new result solve corresponding master equation calculate among physical quantity uncertainty function whose late time behavior obtained fully produce formula investigating standard quantum limit central addressing many theoretical issue macroscopic quantum phenomenon experimental concern related low temperature precision measurement find initial state always settle gaussian density matrix whose covariance determined thermal reservoir whose mean determined external force general spectrum show solution master equation reduced solving motion classical parametric oscillator parametric frequency determined unsolved master equation coefficient state system experience evolution parametrically similar simpler evolution explicitly determined case laurentseries spectrum
